UK	英国
Canada	加拿大
USA	美国
China	中国
she	她
student	学生
pupil	小学生
he	他
teacher	教师
boy	男孩
and	和
girl	女孩
new	新的，新近的
friend	朋友，友人
today	今天
father	父亲
dad	爸爸
man	男人
woman	女人
mother	母亲
sister	姐/妹
brother	哥/弟
grandmother	祖母
grandma	奶奶
grandfather	祖父
grandpa	爷爷
family	家
thin	瘦的
fat	胖的
tall	高的
short	矮的
long	长的
small	小的
big	大的
giraffe	长颈鹿
so	这么
children	孩子们
child	儿童
tail	尾巴
on	在…上
in	在…里
under	在…下面
chair	椅子
desk	书桌
cap	帽子
ball	球
car	小汽车
boat	小船
map	地图
toy	玩具
box	盒
pear	梨
apple	苹果
orange	橙子
banana	香蕉
watermelon	西瓜
strawberry	草莓
grape	葡萄
buy	买
fruit	水果
eleven	十一
twelve	十二
thirteen	十三
fourteen	十四
fifteen	十五
sixteen	十六
seventeen	十七
eighteen	十八
nineteen	十九
twenty	二十
kite	风筝
beautiful	美丽的
